#SampleID;unique
515rcbc20;348
515rcbc36;2589
515rcbc13;3154
515rcbc8;3185
515rcbc34;3436
515rcbc27;3649
515rcbc32;3687
515rcbc9;3692
515rcbc25;3792
515rcbc21;3813
515rcbc37;3814
515rcbc35;3842
515rcbc23;3857
515rcbc15;3976
515rcbc14;4171
515rcbc33;4270
515rcbc26;4276
515rcbc11;4324
515rcbc28;4341
515rcbc17;4466
515rcbc18;4476
515rcbc30;4747
515rcbc22;4789
515rcbc31;4802
515rcbc10;4898
515rcbc24;5025
515rcbc16;5186
515rcbc19;5377
515rcbc29;5460
515rcbc12;10460
