Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
MEVL01000015.4457.6018	0.619895511154	0.000165648170169	0.907806771388	1.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Methylacidiphilales; D_4__Methylacidiphilaceae; D_5__uncultured; Ambiguous_taxa
HM269178.1.1349	-0.595789903379	0.000360196400225	0.907806771388	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Microscillaceae; D_5__uncultured; D_6__uncultured bacterium
AF293012.1.1505	0.589010898132	0.000442445364286	0.907806771388	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; D_6__uncultured Green Bay ferromanganous micronodule bacterium MNF8
HM187283.1.1511	0.588402915474	0.000450565822764	0.907806771388	1.0	D_0__Bacteria; D_1__Planctomycetes; D_2__Pla4 lineage; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
EU335205.1.1524	0.570982511274	0.000745713761849	0.907806771388	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__MBNT15; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN023903.1.1440	0.567201121668	0.000828374462125	0.907806771388	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
GQ302557.1.1516	0.557094628435	0.00108941402221	0.907806771388	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; D_6__uncultured Nitrospiraceae bacterium
KJ782244.1.1479	0.546488822772	0.00143697931589	0.907806771388	1.0	D_0__Bacteria; D_1__Gemmatimonadetes; D_2__Gemmatimonadetes; D_3__Gemmatimonadales; D_4__Gemmatimonadaceae; D_5__uncultured; Ambiguous_taxa
FPLL01004497.15.1491	0.5395920808	0.00171097927562	0.907806771388	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__TK10; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
EU133991.1.1303	0.538517738786	0.00175746222256	0.907806771388	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__A4b; D_5__uncultured bacterium; D_6__uncultured bacterium
LN573103.1.1393	0.538418967686	0.00176178959534	0.907806771388	1.0	D_0__Bacteria; D_1__Rokubacteria; D_2__NC10; D_3__Rokubacteriales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KY190578.1.1416	0.533619691622	0.00198337877061	0.907806771388	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Dehalococcoidia; D_3__S085; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AY532586.1.1502	0.532007973781	0.00206296128261	0.907806771388	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; Ambiguous_taxa
