Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
MEVL01000015.4457.6018	0.528976974262	0.00222004904107	0.980950362144	1.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__Methylacidiphilales; D_4__Methylacidiphilaceae; D_5__uncultured; Ambiguous_taxa
HM187283.1.1511	0.503062516418	0.00403337400134	0.980950362144	1.0	D_0__Bacteria; D_1__Planctomycetes; D_2__Pla4 lineage; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HM269178.1.1349	-0.477295345212	0.00694906176822	0.980950362144	1.0	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Microscillaceae; D_5__uncultured; D_6__uncultured bacterium
GQ302557.1.1516	0.475571471284	0.00719486521538	0.980950362144	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; D_6__uncultured Nitrospiraceae bacterium
AF293012.1.1505	0.459912813105	0.00977947763415	0.980950362144	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; D_6__uncultured Green Bay ferromanganous micronodule bacterium MNF8
EU133991.1.1303	0.458393935387	0.010066692902	0.980950362144	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Anaerolineae; D_3__SBR1031; D_4__A4b; D_5__uncultured bacterium; D_6__uncultured bacterium
KY190578.1.1416	0.453479419295	0.0110443763803	0.980950362144	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__Dehalococcoidia; D_3__S085; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN023903.1.1440	0.447255561774	0.0123940224625	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
FPLL01004497.15.1491	0.443742703826	0.0132139881795	0.980950362144	1.0	D_0__Bacteria; D_1__Chloroflexi; D_2__TK10; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa; Ambiguous_taxa
JX133621.1.1476	-0.440567110531	0.0139931718058	0.980950362144	1.0	D_0__Bacteria; D_1__Actinobacteria; D_2__Acidimicrobiia; D_3__Microtrichales; D_4__Ilumatobacteraceae; D_5__uncultured; D_6__uncultured bacterium
AY532586.1.1502	0.438837432973	0.0144332123528	0.980950362144	1.0	D_0__Bacteria; D_1__Nitrospirae; D_2__Nitrospira; D_3__Nitrospirales; D_4__Nitrospiraceae; D_5__Nitrospira; Ambiguous_taxa
EU335205.1.1524	0.438771918196	0.0144501004324	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__MBNT15; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
LN573103.1.1393	0.438664033173	0.0144779458589	0.980950362144	1.0	D_0__Bacteria; D_1__Rokubacteria; D_2__NC10; D_3__Rokubacteriales; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC749107.1.1486	0.437290699568	0.0148362728611	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiales Incertae Sedis; D_5__uncultured; Ambiguous_taxa
EU035931.1.1482	0.433874365978	0.0157593064546	0.980950362144	1.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteriia; D_3__Solibacterales; D_4__Solibacteraceae (Subgroup 3); D_5__PAUC26f; D_6__uncultured bacterium
HQ190564.1.1509	0.431929748331	0.016305365268	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Salinisphaerales; D_4__Solimonadaceae; D_5__Polycyclovorans; Ambiguous_taxa
EU133789.1.1344	0.429739961694	0.0169386929401	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Nitrosomonadaceae; D_5__MND1; D_6__uncultured bacterium
EF559008.1.1441	0.427992488361	0.0174583873816	0.980950362144	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Family XI; D_5__Tepidimicrobium; D_6__uncultured bacterium
GQ262835.1.1489	0.426006433615	0.0180647569307	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Nitrosomonadaceae; D_5__MND1; D_6__uncultured bacterium
JF833914.1.1495	0.422115882409	0.019302351264	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__A21b; Ambiguous_taxa; Ambiguous_taxa
LN572963.1.1392	0.419406734591	0.0202041907554	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__bacteriap25; D_5__uncultured bacterium; D_6__uncultured bacterium
FQ659408.1.1320	0.417381684052	0.0209004025533	0.980950362144	1.0	D_0__Bacteria; D_1__Acidobacteria; D_2__Acidobacteriia; D_3__Solibacterales; D_4__Solibacteraceae (Subgroup 3); D_5__Candidatus Solibacter; D_6__uncultured soil bacterium
AJ518791.1.1293	0.415307243015	0.0216336397089	0.980950362144	1.0	D_0__Bacteria; D_1__Proteobacteria; D_2__Deltaproteobacteria; D_3__Myxococcales; D_4__bacteriap25; D_5__uncultured delta proteobacterium; D_6__uncultured delta proteobacterium
HQ190268.1.1518	-0.409341326665	0.0238591675691	0.980950362144	1.0	D_0__Bacteria; D_1__BRC1; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
APMI01015156.1664.3151	-0.409047994052	0.0239731828483	0.980950362144	1.0	D_0__Bacteria; D_1__Armatimonadetes; D_2__Fimbriimonadia; D_3__Fimbriimonadales; D_4__Fimbriimonadaceae; D_5__wastewater metagenome; D_6__wastewater metagenome
EF585985.1.1502	0.408460864438	0.0242027142823	0.980950362144	1.0	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Heliobacteriaceae; D_5__Hydrogenispora; D_6__uncultured bacterium
EU135415.1.1315	0.406816749175	0.0248549053931	0.980950362144	1.0	D_0__Bacteria; D_1__Verrucomicrobia; D_2__Verrucomicrobiae; D_3__S-BQ2-57 soil group; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
